序号,解禁时间,当日解禁股票家数,解禁数量,实际解禁数量,实际解禁市值,沪深300指数,沪深300指数涨跌幅
1,2025-01-02,7,422614879.0,422614879.0,4583573094.62,3820.3952,-2.9102
2,2025-01-03,16,238899878.0,209157504.99999997,7390249161.01,3775.1648,-1.1839
3,2025-01-06,15,650155602.0,649912235.0,21759702718.2,3768.9697,-0.1641
4,2025-01-07,7,14819668.0,14819668.0,203197511.62,3796.1055,0.72
5,2025-01-08,11,652604169.0,578085167.0,2012503808.25,3789.2153,-0.1815
6,2025-01-09,5,100304949.0,100304949.0,2708210399.4,3779.8773,-0.2464
7,2025-01-10,17,354868288.0,256235427.00000003,5493324351.93,3732.4806,-1.2539
8,2025-01-13,13,707555928.0,707555928.0,11293968529.67,3722.513,-0.2671
9,2025-01-14,9,196738760.0,162842835.0,8801811562.99,3820.5395,2.6333
10,2025-01-15,14,380366282.99999994,330923790.0,5208422927.04,3796.026,-0.6416
11,2025-01-16,8,11213262.0,10275237.0,204048916.2,3800.3836,0.1148
12,2025-01-17,6,1604935477.0,1601230102.0,5139441953.67,3812.3429,0.3147
13,2025-01-20,12,1101474112.0,1063403788.0,8420396055.5,3829.6764,0.4547
14,2025-01-21,8,86572088.0,51643339.0,1092126464.32,3832.6145,0.0767
15,2025-01-22,10,749694411.0,749694411.0,10889185298.66,3797.0166,-0.9288
16,2025-01-23,9,2086854359.0,2017188359.0,17582918974.78,3803.7439,0.1772
17,2025-01-24,9,4889169035.0,4859967785.0,72161256409.32,3832.8637,0.7656
18,2025-01-27,22,8650919148.0,8591392023.0,62491701913.07,3817.0802,-0.4118
19,2025-02-05,24,1152352404.0,1148692404.0,11025989482.4,3795.0848,-0.5762
20,2025-02-06,4,31541064.0,31541064.0,595642245.72,3842.8314,1.2581
21,2025-02-07,5,222852769.99999997,222852769.99999997,4795707093.63,3892.7028,1.2978
22,2025-02-10,9,1256565388.0,1256565388.0,13181190964.210001,3901.0618,0.2147
23,2025-02-11,7,622064107.0,587644681.0,29992164319.58,3883.1352,-0.4595
24,2025-02-12,6,48513579.0,29198109.0,357769035.59999996,3919.8617,0.9458
25,2025-02-13,2,42462260.0,41922260.0,1376366001.0,3905.1398,-0.3756
26,2025-02-14,3,64003801.0,64003801.0,1214814993.3799999,3939.0085,0.8673
27,2025-02-17,15,470592987.99999994,470499334.0,3686158385.5,3947.3983,0.213
28,2025-02-18,10,322669096.0,267075601.0,3266078110.6099997,3912.7829,-0.8769
29,2025-02-19,4,67174970.0,67174970.0,696194133.5,3940.1602,0.6997
30,2025-02-20,6,57411566059.0,57411566059.0,448896037923.13,3928.8959,-0.2859
31,2025-02-21,12,924374815.0,895867738.0,9415021686.58,3978.444,1.2611
32,2025-02-24,21,4303002600.0,4251343337.0,20561979586.87,,
33,2025-02-25,3,137536930.0,137491930.0,802933850.45,,
34,2025-02-26,5,43262087.0,43262087.0,938870685.12,,
35,2025-02-27,6,6910940.000000001,6433940.0,291501989.2,,
36,2025-02-28,11,81105904.0,81105904.0,1712623075.63,,
37,2025-03-03,12,820322163.0,820322163.0,19246960898.329998,,
38,2025-03-04,1,1222445.0,1222445.0,40634071.800000004,,
39,2025-03-05,5,111349412.0,111349412.0,1358957847.57,,
40,2025-03-06,5,167373613.0,167373613.0,734801078.22,,
41,2025-03-07,3,125445600.0,125445600.0,7078864240.0,,
42,2025-03-10,18,1244696983.0,1244696983.0,14169781429.02,,
43,2025-03-11,5,192035155.0,192035155.0,9579362643.7,,
44,2025-03-12,2,68361951.0,68361951.0,555085089.22,,
45,2025-03-13,7,248901666.0,248901666.0,9777569619.119999,,
46,2025-03-14,7,75712434.0,75712434.0,1668255545.77,,
47,2025-03-17,12,410252041.0,410252041.0,6125957142.160001,,
48,2025-03-18,7,169696862.0,169696862.0,3858409050.8599997,,
49,2025-03-20,6,45943028.00000001,45943028.00000001,1629999935.12,,
50,2025-03-21,3,11803496.0,11803496.0,264321699.82999998,,
51,2025-03-24,21,1607863970.0,1607863970.0,16775489036.630001,,
52,2025-03-25,11,428745360.0,428745360.0,6774918488.95,,
53,2025-03-26,4,89543353.0,89543353.0,2060480531.8799999,,
54,2025-03-27,2,27055000.0,27055000.0,133020550.0,,
55,2025-03-28,7,199075447.0,199075447.0,12413972139.6,,
56,2025-03-31,15,337534837.0,337534837.0,6511634354.42,,
57,2025-04-01,4,13074483.0,13074483.0,518731842.40000004,,
58,2025-04-02,3,122348580.0,122348580.0,5784591363.0,,
59,2025-04-07,7,478898483.0,478898483.0,9355659531.62,,
60,2025-04-08,4,960840215.0,960840215.0,19104766237.2,,
61,2025-04-09,1,44642857.0,44642857.0,289732141.93,,
62,2025-04-10,1,3236394.0,3236394.0,34176320.64,,
63,2025-04-11,7,136676025.0,136676025.0,6277548802.040001,,
64,2025-04-14,13,250520596.0,250520596.0,4699976035.28,,
65,2025-04-15,2,41552478.0,41552478.0,820376801.12,,
66,2025-04-16,4,40436481.0,40436481.0,797250854.24,,
67,2025-04-17,6,31336712.000000004,31336712.000000004,559731046.16,,
68,2025-04-18,6,185516191.0,185516191.0,2561633857.0099998,,
69,2025-04-21,18,2696001900.0,2696001900.0,54800728852.700005,,
70,2025-04-22,3,103259972.0,103259972.0,6957053668.15,,
71,2025-04-23,4,1644279322.9999998,1644279322.9999998,19343952716.84,,
72,2025-04-24,4,9092225.0,9092225.0,566011906.15,,
73,2025-04-25,7,597035203.0,597035203.0,9655269357.07,,
74,2025-04-28,30,2152264871.0,2152264871.0,35096196879.49,,
75,2025-04-29,13,415951204.0,415951204.0,10219616681.73,,
76,2025-04-30,7,203972561.0,203972561.0,1555985324.8600001,,
77,2025-05-06,19,698491370.0,698491370.0,13453774801.94,,
78,2025-05-07,8,75120167.0,75120167.0,6306253723.25,,
79,2025-05-08,3,65434525.0,65434525.0,339708553.43,,
80,2025-05-09,12,203829254.0,203829254.0,6174901296.400001,,
81,2025-05-12,18,813381174.9999999,813381174.9999999,10293147971.880001,,
82,2025-05-13,4,85493120.99999999,85493120.99999999,2477992163.9,,
83,2025-05-14,2,13148324.0,13148324.0,90796607.72,,
84,2025-05-16,7,16405021.999999998,16405021.999999998,161320748.16,,
85,2025-05-19,22,1337786905.0,1337786905.0,15850483893.64,,
86,2025-05-20,10,448956803.0,448956803.0,11298385464.45,,
87,2025-05-21,3,7895136.0,7895136.0,322264272.12,,
88,2025-05-22,7,5827276.000000001,5827276.000000001,226393255.97,,
89,2025-05-23,7,78276081.0,78276081.0,2388702189.3,,
90,2025-05-26,16,299244595.0,299244595.0,4648651574.86,,
91,2025-05-27,7,289750532.0,289750532.0,4760226457.39,,
92,2025-05-28,5,8064134192.0,8064134192.0,18392429279.88,,
93,2025-05-29,7,59049960.0,59049960.0,2268716287.9700003,,
94,2025-05-30,9,59249351.0,59249351.0,3309097227.9500003,,
95,2025-06-03,23,700401972.0,700401972.0,8589637380.43,,
96,2025-06-04,5,51202172.0,51202172.0,599440531.25,,
97,2025-06-05,8,108401461.0,108401461.0,2555858903.0299997,,
98,2025-06-06,11,1519413356.0,1519413356.0,15323931474.12,,
99,2025-06-09,25,838309746.0,838309746.0,27215203357.78,,
100,2025-06-10,4,215814947.0,215814947.0,3017018448.0800004,,
101,2025-06-11,2,109356694.0,109356694.0,732443400.0,,
102,2025-06-12,7,330815654.0,330815654.0,14785754290.31,,
103,2025-06-13,7,172396159.0,172396159.0,2999974317.27,,
104,2025-06-16,15,2079849455.0,2079849455.0,29604100621.27,,
105,2025-06-17,7,858141631.0,858141631.0,13648779943.27,,
106,2025-06-18,4,23159109.0,23159109.0,1050381344.22,,
107,2025-06-19,4,4159724879.0,4159724879.0,21024264621.76,,
108,2025-06-20,9,158601633.0,158601633.0,3502520685.52,,
109,2025-06-23,26,4595603541.0,4595603541.0,35659815920.28,,
110,2025-06-24,8,319210836.0,319210836.0,18712809145.31,,
111,2025-06-25,3,148035062.0,148035062.0,1034235303.78,,
112,2025-06-26,7,196810338.0,196810338.0,5221813331.12,,
113,2025-06-27,8,94165092.0,94165092.0,2136473336.01,,
114,2025-06-30,34,2563405992.0,2563405992.0,46516870315.56,,
115,2025-07-01,8,351091516.0,351091516.0,16323410962.22,,
116,2025-07-02,3,44339272.0,44339272.0,341991370.40000004,,
117,2025-07-03,10,52586146.0,52586146.0,1459520371.26,,
118,2025-07-04,2,32840297.999999996,32840297.999999996,835850160.66,,
119,2025-07-07,32,774244336.0,774244336.0,26232932842.05,,
120,2025-07-08,7,1223384607.0,1223384607.0,11326955511.72,,
121,2025-07-09,5,28945072.0,28945072.0,425110148.61,,
122,2025-07-10,6,26121654.0,26121654.0,750513887.3399999,,
123,2025-07-11,7,208820394.0,208820394.0,5628165502.0199995,,
124,2025-07-14,17,523840619.0,523840619.0,20008601369.670002,,
125,2025-07-15,9,277136825.0,277136825.0,4278171432.7,,
126,2025-07-16,4,21418696.0,21418696.0,413204334.40000004,,
127,2025-07-17,2,3643560.0,3643560.0,92872362.0,,
128,2025-07-18,11,182864392.99999997,182864392.99999997,3023826722.56,,
129,2025-07-21,28,700408207.0,700408207.0,9281289369.53,,
130,2025-07-22,10,2299407432.0,2299407432.0,50838945150.68,,
131,2025-07-23,3,17039547.0,17039547.0,1154033687.76,,
132,2025-07-24,7,96198774.0,96198774.0,2075289699.5200002,,
133,2025-07-25,10,424563556.0,424563556.0,8275830155.259999,,
134,2025-07-28,35,2354268192.0,2354268192.0,62966873430.96,,
135,2025-07-29,4,451542625.0,451542625.0,14727459890.25,,
136,2025-07-30,3,436501268.0,436501268.0,2195280134.7599998,,
137,2025-07-31,3,17835000.0,17835000.0,930579900.0,,
138,2025-08-01,4,241165050.0,241165050.0,6034705545.0,,
139,2025-08-04,5,480909380.0,480909380.0,6990058273.86,,
140,2025-08-05,6,1112246063.0,1112246063.0,33327257319.3,,
141,2025-08-06,2,8519540.0,8519540.0,414850804.2,,
142,2025-08-07,2,18242824.0,18242824.0,825224380.64,,
143,2025-08-08,3,1239493294.0,1239493294.0,65422204802.93,,
144,2025-08-11,11,455572594.0,455572594.0,14103669076.22,,
145,2025-08-12,4,1454852735.9999998,1454852735.9999998,186601726765.3,,
146,2025-08-13,2,182638946.0,182638946.0,1121638181.1399999,,
147,2025-08-14,4,757822179.9999999,757822179.9999999,8526887917.900001,,
148,2025-08-15,6,257530817.0,257530817.0,7574255670.07,,
149,2025-08-18,21,2886902415.0,2886902415.0,51334812098.3,,
150,2025-08-19,5,521836353.0,521836353.0,6587883275.23,,
151,2025-08-20,1,205740.00000000003,205740.00000000003,16047720.0,,
152,2025-08-21,5,167781208.0,167781208.0,5330412840.8,,
153,2025-08-22,5,359660836.0,359660836.0,30544093517.42,,
154,2025-08-25,8,458949005.00000006,458949005.00000006,6294202562.94,,
155,2025-08-26,4,112144358.0,112144358.0,5311064026.42,,
156,2025-08-27,3,3764500.0,3764500.0,43828980.0,,
157,2025-08-28,7,463575126.0,463575126.0,17057754010.72,,
158,2025-08-29,7,3618779968.0,3618779968.0,29936723219.85,,
159,2025-09-01,12,198640111.0,198640111.0,4771168506.13,,
160,2025-09-02,5,63768539.0,63768539.0,1665193343.41,,
161,2025-09-03,5,1524243456.0,1524243456.0,7047463506.8,,
162,2025-09-04,3,56964002.0,56964002.0,2291743041.08,,
163,2025-09-05,4,194246525.0,194246525.0,2598552080.4500003,,
164,2025-09-08,18,2971958326.0,2971958326.0,56024556764.88,,
165,2025-09-09,13,741591854.0,741591854.0,19194814714.26,,
166,2025-09-10,1,180000.0,180000.0,599400.0,,
167,2025-09-11,5,110350500.0,110350500.0,4610919930.0,,
168,2025-09-12,3,1029080.0,1029080.0,32714453.6,,
169,2025-09-15,20,549113474.0,549113474.0,25613705729.6,,
170,2025-09-16,2,409154687.0,409154687.0,13607669884.800001,,
171,2025-09-17,2,187931074.99999997,187931074.99999997,4774790992.61,,
172,2025-09-18,8,751055912.0,751055912.0,17679300518.17,,
173,2025-09-19,9,785280160.0,785280160.0,8644597603.94,,
174,2025-09-22,30,504834309.0,504834309.0,13844357075.56,,
175,2025-09-23,8,322543358.0,322543358.0,8611201025.65,,
176,2025-09-24,2,722500.0,722500.0,8785450.0,,
177,2025-09-25,5,46339683.00000001,46339683.00000001,1170010048.2,,
178,2025-09-26,10,1156255032.0,1156255032.0,30924834837.039997,,
179,2025-09-29,23,4387393012.0,4387393012.0,24919934538.32,,
180,2025-09-30,11,230270459.99999997,230270459.99999997,6901286464.92,,
181,2025-10-09,15,833773238.0,833773238.0,20187937630.94,,
182,2025-10-10,4,137160794.0,137160794.0,6789747483.44,,
183,2025-10-13,33,2193741257.0,2193741257.0,54372325536.73,,
184,2025-10-14,3,6112405.0,6112405.0,119783745.19999999,,
185,2025-10-15,2,61820970.0,61820970.0,2109032597.1000001,,
186,2025-10-16,11,5290008575.0,5290008575.0,160159890821.81,,
187,2025-10-17,5,18243571.0,18243571.0,1119055642.6499999,,
188,2025-10-20,27,751051245.0,751051245.0,20406088929.969997,,
189,2025-10-21,3,104213814.0,104213814.0,2649092269.6,,
190,2025-10-22,6,225979144.0,225979144.0,5746030902.5,,
191,2025-10-23,4,2943780.0,2943780.0,31835297.4,,
192,2025-10-24,5,123776416.00000001,123776416.00000001,5105567821.860001,,
193,2025-10-27,14,2345351291.0,2345351291.0,21006746576.98,,
194,2025-10-28,6,470303280.0,470303280.0,7442646588.62,,
195,2025-10-29,4,160057827.0,160057827.0,8103468505.7699995,,
196,2025-10-30,8,2913654.0,2913654.0,49525029.050000004,,
197,2025-10-31,9,244113854.0,244113854.0,5877131153.68,,
198,2025-11-03,8,349984801.0,349984801.0,8834228156.619999,,
199,2025-11-04,4,23177343.0,23177343.0,135266806.49,,
200,2025-11-05,2,3472250.0,3472250.0,32996897.5,,
201,2025-11-06,2,28192187.0,28192187.0,262121492.35,,
202,2025-11-07,9,687140939.0000001,687140939.0000001,11677189581.830002,,
203,2025-11-10,11,869474079.0,869474079.0,10576264368.070002,,
204,2025-11-11,3,138174100.0,138174100.0,3000914505.0,,
205,2025-11-12,2,436760.0,436760.0,17590348.0,,
206,2025-11-13,6,171376264.99999997,171376264.99999997,1480619666.55,,
207,2025-11-14,6,176976510.00000003,176976510.00000003,4390654397.0,,
208,2025-11-17,23,3523754092.0,3523754092.0,23129202593.68,,
209,2025-11-18,7,297806481.0,297806481.0,5303997040.29,,
210,2025-11-19,2,83571064.0,83571064.0,2672343263.79,,
211,2025-11-20,5,653641502.0,653641502.0,38387323168.38,,
212,2025-11-21,8,62340232.0,62340232.0,875987253.4000001,,
213,2025-11-24,12,878296946.0,878296946.0,6700453314.41,,
214,2025-11-25,4,54529090.0,54529090.0,2794527190.1,,
215,2025-11-26,5,42505729.0,42505729.0,1398505966.44,,
216,2025-11-27,3,328802000.0,328802000.0,719780700.0000001,,
217,2025-11-28,7,81182728.0,81182728.0,556737043.28,,
218,2025-12-01,19,2558152935.0,2558152935.0,34774557712.15,,
219,2025-12-02,4,66354007.0,66354007.0,2470607975.09,,
220,2025-12-03,2,979117.0,979117.0,24359689.07,,
221,2025-12-04,6,201301401.0,201301401.0,4073191764.1000004,,
222,2025-12-05,9,875942703.9999999,875942703.9999999,13122945445.98,,
223,2025-12-08,17,245867815.99999997,245867815.99999997,10016256685.460001,,
224,2025-12-09,6,1109542154.0,1109542154.0,10571582884.519999,,
225,2025-12-10,2,12127687.0,12127687.0,133817157.39999999,,
226,2025-12-11,2,15452200.0,15452200.0,760045641.9999999,,
227,2025-12-12,5,159154380.0,159154380.0,8175592022.000001,,
228,2025-12-15,8,62897702.0,62897702.0,878397364.6899999,,
229,2025-12-16,1,193279173.99999997,193279173.99999997,4136174323.6,,
230,2025-12-17,1,55527272.0,55527272.0,744620717.52,,
231,2025-12-18,5,26708837.0,26708837.0,1225642877.8300002,,
232,2025-12-19,4,30430065.0,30430065.0,524628521.1,,
233,2025-12-22,24,8981085952.0,8981085952.0,112759380982.9,,
234,2025-12-23,9,10539539051.0,10539539051.0,32424819547.899998,,
235,2025-12-24,5,692751818.0,692751818.0,6368437905.28,,
236,2025-12-25,1,4470264.0,4470264.0,90522846.00000001,,
237,2025-12-26,6,143448740.0,143448740.0,2033115455.3500001,,
238,2025-12-29,18,2814371701.0,2814371701.0,59959364671.86,,
239,2025-12-30,8,6641284878.999999,6641284878.999999,53119960161.31,,
240,2025-12-31,7,2165253213.0,2165253213.0,12433966008.47,,
